I might swerve-,ENGLISH,ESPAÑOL
desc_CSlide,Stop sliding without jumping and continue running.,
,,
move_Roll,ROLLING,
desc_Roll,"While Rolling, you slow down automatically, the effects of slopes is increased, and you damage enemies. (You cannot cancel out of Rolling.)",
,,
move_Slam,SLAM,
desc_Slam,Can only be done mid-air.,
,,
move_DSlam,SLAM-DASH,
move_Boost,BOOST,
desc_Boost,"While Boosting, your acceleration is tripled, you're invulnerable to spikes, and you damage enemies. Damage enemies to increase your TENSION meter. Initiating a Boost will always cost 2 bars of TENSION.",
,,
move_ABoost,AIR-BOOST,
desc_ABoost,Can only be done mid-air. Suspends you in the air for a little. Initiating an Air-Boost will always cost 10 bars of TENSION.,
,,
move_Trick,FREESTYLE-TRICK,
desc_Trick,"Anything that launches you that isn't the Environment, Hazards, or Enemies will allow you to perform all kinds of tricks that earn you TENSION.",
,,
move_DTrick,DIRECTIONAL-TRICK,
desc_DTrick,Hold any direction (other than down) and you'll launch yourself accordingly along with continuing your FREESTYLE-TRICKS.,
,,
move_BTrick,BACKWARDS-TRICK,
desc_BTrick,Don't hold a direction and you'll be launched opposite of where you're facing.,
,,
move_RTrick,RAIL-TRICK,
desc_RTrick,Earn TENSION and increase your speed.,
,,
move_RJump,RAIL-JUMP,
desc_RJump,Jump right before a Rail-Stopper to do FREESTYLE-TRICKS.,
,,
///-----Kappa Moves-----///,,
move_KADash,AIR-DASH,
move_KHoming,HOMING ATTACK,
desc_KHoming,"A Reticle must appear before you can attack. After attacking, most of your moves reset.",
,,
///-----Lucifer Moves-----///,,
move_LBGlide,BURST-GLIDE,
desc_LBGlide,"You fall extremely slowly, but it's on a small timer.",
,,
///-----Sarah Moves-----///,,
move_SSHover,SPINNING-HOVER,
desc_SSHover,Can be done infinitely and you have more air-control.,
,,
move_SSSlam,SPINNING-SLAM,
desc_SSSlam,Hold to make it slam down faster than usual.,
,,
///-----Rush Moves-----///,,
move_RHoming,HOMING ATTACK,
desc_RHoming,"A Reticle must appear before you can attack. After attacking, most of your moves reset.",
,,
move_RSpindash,SPINDASH,
move_RPeelout,SUPER PEELOUT,
,,
///-----Ivy Moves-----///,,
move_IRevolver,REVOLVER,
desc_IRevolver,Can be charged. Will take more bullets,
,,
move_IBDash,BULLET-DASH,
move_IBBounce,BULLET-BOUNCE,
move_IReload,RELOAD,
desc_IReload,Reloading won't finish until you land on the ground.,
,,
///-----Base Bios-----///,,
bio_Name,NAME,
bio_Age,AGE,
bio_Birth,BIRTHDAY,
,,
///-----Char Bios-----///,,
bio_Kappa,"The adopted, oldest child of the Suki family and a descendant of the ADRENALINE Clan. One half of a coin. When he was 10 years old, his mother died due to an unexpected event in front of his eyes. This lead to dormant power of his to be released in one big burst. This power, known as TENSION, is something everyone has. But because of his ancient lineage, it was more hidden, but far more powerful than a normal person's. After the event, his best friend's family was more than willing to bring him in. His adoptive sister, Sarah, and her mother, Sophi, because they know he loves cats, made him the cat beanie he still wears to this day, which now looks small on him thanks to his giant hair. (And naturally just growin' out of it.) He's grown to be more silent than usual, but he still finds joy in the things he does. Collecting cassettes 'n' CDs with his adoptive father, Scott, learning to bake with Sophi, learning to draw with Sarah, learning piano with Lone, learning boxing with Brock, sparring and sharing manga with Neegi, adventuring with Cloee, spray-painting with Akira 'n' his gang, and rocking each other's shits with Roxxane. Alongside workin' at a café, he occasionally does fruit deliveries for people in OTHERTOWN thanks to his family's farming business and his incredible speed. Holds the left, cracked, gold, heart-shaped pendant of the Suki Siblings, given by his adoptive grandfather.",
bio_Lucifer,"A hybrid of the DEFECTIVE Clan & ADRENALINE Clan. One half of a coin. She's a pretty reserved individual, often not showing emotion. She's forced to train herself and her troops everyday to continue the self-dubbed DEFECTIVE Clan's goal of killing everyone in the ADRENALINE Clan. Having to harvesting their blood to attain the power of ADRENALINE, figuring out how to use it without it melting 'n' killing themselves, and effectively letting them live forever with infinite, unbelievable power. She knows everything being done is wrong, but it's either she does this or die by her family's hand. She already suffered a skull fracture at the hand of her father and uncle, the 2 leaders of the DEFECTIVE Clan in modern-day, for missing a shot on a member of the ADRENALINE Clan. Ever since, she's needed a headband imbued with a TENSION Seal to stave off the pain. Despite all of this, she does find time at night to rest or let herself have some fun. Simply running in the night, seeing the stars, eating some pizza, and enjoying her time without worries is enough for her, often humming Clair de Lune to herself. Holds the pink, heart-shaped pendant of her deceased mother, given to her daughter herself shortly before passing away. Lucifer often blames herself for her mother's death.",
bio_Sarah,"The middle child of the Suki family. The childhood best friend-turned sister of Kappa; she's your happy-go-lucky, next-door neighbor-type of girl. She's pretty cheerful, loves anything cute, big fan of hamburgers, and always tries to look at the brightside of anything. She and the rest of her family have a heart theme going on, all family members having heart-shaped ahoges. She has a fondness for making tea as well, especially for her girlfriend, Neegi. She's actively learning to draw & paint, hopin' to use those skills to get to an art school 'n' develope them more, alongside doing freelance work. Holds the middle, cracked, gold, heart-shaped pendant of the Suki Siblings, given by her grandfather.",
bio_Lone,"The adopted, youngest child of the Suki family. A trans girl left abandoned by her previous family at a very young age. Forced to fend for herself without any experience in a harsh city, she ended up losing her eyes before meeting the Suki family. Despite their similarities, her and Kappa are not blood-related. She was found by Kappa and Sarah during a fruit delivery they had to do when they had to work at their grandfather's farm outside OTHERTOWN. Despite being terrified, she became relieved when she listened to their gentle voices. After some months living with the Suki family, she not only was properly adopted, but also was taught how to use TENSION. She was also taught by Sarah how to use her other senses. Upon a couple years of living and working at the farm, she gained a special interest in learning piano after hearing Kappa play it occasionally, albeit, very basic songs. Holds the right, cracked, gold, heart-shaped pendant of the Suki Siblings, given by her grandfather.",
bio_Brock,,
bio_Neegi,,
bio_Cloee,,
bio_Akira,"The 1st member 'n' leader of the gang of goons in OTHERCITY, ""The Bandanas"", and the 2nd dumbest person of the gang. He managed to cheat his way through high school so well that he got accepted to a college, but ultimately didn't learn nothin', so he dropped out. His group is a gang of 3 self-proclaimed assassins in OTHERCITY, chargin' high prices to kill anyone they're asked and only IF they don't like this person after observing them for a bit. He and his goons live in an abandoned harbor in OTHERCITY full of shipping containers that they set up to be a proper living space. It's also where their hideout is for their killin' business, which is probably not the best idea on his part. Any time he refused an offer, the client would try 'n' kill him, which usually ends up failing and always ends up with the client dead, with their weapon choice snatched as a trophy. For those that DO leave alive 'n' they try to rat out The Bandanas, they get swiftly dealt with. Thanks to Akira's pyrokenisis, he's able to completely destroy the bodies as well. Unforunately, this does not stop getting him and his gang on a wanted list, having posters scattered throughout OTHERCITY and some in OTHERTOWN.",
bio_Taylor,"The 2nd member of The Bandanas and the actual smartest person of the gang. She's basically the ""tank"" of the group, havin' the most muscle out of everyone in the group.",
bio_Ayana,"The 3rd member of The Bandanas and the actual dumbest person of the gang. She's extremely mischievious, often lying to get her way. She hates following any rules, she cheated her entire way through school to college before dropping out, and owns a whole knife collection. She especially loves pissing off OTHERCITY's authorities by spray-painting on walls, trains, and cargo way more than Akira & Taylor. Despite this, she does have soft-spot for certain things. She doesn't have any elemental abilities like the rest of her gang.",
bio_Roxxane,,
bio_Rush,,
bio_Edge,,
bio_Ivy,,
,,
///-----Months-----///,,
mon_Jan,JANUARY,
mon_Feb,FEBRUARY,
mon_Mar,MARCH,
mon_Apr,APRIL,
mon_May,MAY,
mon_Jun,JUNE,
mon_Jul,JULY,
mon_Aug,AUGUST,
mon_Sep,SEPTEMBER,
mon_Oct,OCTOBER,
mon_Nov,NOVEMBER,
mon_Dec,DECEMBER,
,,
///-----Days-----///,,
day_Sun,SUNDAY,
day_Mon,MONDAY,
day_Tue,TUESDAY,
day_Wed,WEDNESDAY,
day_Thu,THURSDAY,
day_Fri,FRIDAY,
day_Sat,SATURDAY,
